#Category OTU Counts-HostSpecies
#OTU ID	Megachile_odontostoma	Agapostemon_virescens	Philanthus_gibbosus	Chalybion_californicum	Hoplitis_biscutellae	Paragia_vespiformis	Rediviva_saetigera	Halictus_patellatus	Apis_mellifera	Xylocopa_californica	Diadasia_opuntiae	Colletes_inaequalis	Apis_dorsata	Bombus_impatiens	Hesperapis_cockerelli	Apis_andreniformis	Caupolicana_yarrowi	Calliopsis_subalpinus	Bombus_sp.	Bombus_sonorus	Consensus Lineage
76	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	44	0	0	0	1	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales
77	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales
78	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales
79	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"
80	0	127	88	0	0	0	290	0	0	0	1	188	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Wolbachia
81	330	125	254	147	170	186	34	263	1	10	4	90	0	2	342	3	41	267	9	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
82	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium
83	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Zymobacter
84	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"; "Leuconostocaceae"; Leuconostoc
85	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"; "Leuconostocaceae"; Weissella
86	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	Root; Bacteria; Proteobacteria
87	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"; "Leuconostocaceae"; Leuconostoc
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales
89	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae
90	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Wolbachia
91	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter
92	3	1	7	23	4	25	4	6	2	4	1	6	0	0	1	0	3	3	0	0	Root; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Nocardioides
94	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	Root; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
95	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia
